PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyRetx
79678,00507V10,ATVI,12499,2021-05-12,92.660000,-0.028110
79678,00507V10,ATVI,12499,2021-05-13,93.420000,0.008202
79678,00507V10,ATVI,12499,2021-05-14,93.350000,-0.000749
79678,00507V10,ATVI,12499,2021-05-17,92.300000,-0.011248
79678,00507V10,ATVI,12499,2021-05-18,93.660000,0.014735
79678,00507V10,ATVI,12499,2021-05-19,94.260000,0.006406
79678,00507V10,ATVI,12499,2021-05-20,96.570000,0.024507
79678,00507V10,ATVI,12499,2021-05-21,95.370000,-0.012426
79678,00507V10,ATVI,12499,2021-05-24,96.500000,0.011849
79678,00507V10,ATVI,12499,2021-05-25,96.570000,0.000725
79678,00507V10,ATVI,12499,2021-05-26,97.300000,0.007559
79678,00507V10,ATVI,12499,2021-05-27,97.250000,-0.000514
79678,00507V10,ATVI,12499,2021-05-28,97.250000,0.000000
79678,00507V10,ATVI,12499,2021-06-01,96.450000,-0.008226
79678,00507V10,ATVI,12499,2021-06-02,95.390000,-0.010990
79678,00507V10,ATVI,12499,2021-06-03,94.980000,-0.004298
79678,00507V10,ATVI,12499,2021-06-04,96.840000,0.019583
79678,00507V10,ATVI,12499,2021-06-07,97.120000,0.002891
79678,00507V10,ATVI,12499,2021-06-08,96.800000,-0.003295
79678,00507V10,ATVI,12499,2021-06-09,96.530000,-0.002789
79678,00507V10,ATVI,12499,2021-06-10,97.690000,0.012017
79678,00507V10,ATVI,12499,2021-06-11,98.150000,0.004709
79678,00507V10,ATVI,12499,2021-06-14,99.180000,0.010494
79678,00507V10,ATVI,12499,2021-06-15,95.970000,-0.032365
79678,00507V10,ATVI,12499,2021-06-16,94.060000,-0.019902
79678,00507V10,ATVI,12499,2021-06-17,93.190000,-0.009249
79678,00507V10,ATVI,12499,2021-06-18,91.490000,-0.018242
79678,00507V10,ATVI,12499,2021-06-21,91.820000,0.003607
79678,00507V10,ATVI,12499,2021-06-22,91.880000,0.000653
79678,00507V10,ATVI,12499,2021-06-23,90.790000,-0.011863
79678,00507V10,ATVI,12499,2021-06-24,92.510000,0.018945
79678,00507V10,ATVI,12499,2021-06-25,92.260000,-0.002702
79678,00507V10,ATVI,12499,2021-06-28,95.400000,0.034034
79678,00507V10,ATVI,12499,2021-06-29,95.610000,0.002201
79678,00507V10,ATVI,12499,2021-06-30,95.440000,-0.001778
79678,00507V10,ATVI,12499,2021-07-01,93.900000,-0.016136
79678,00507V10,ATVI,12499,2021-07-02,94.270000,0.003940
79678,00507V10,ATVI,12499,2021-07-06,94.400000,0.001379
79678,00507V10,ATVI,12499,2021-07-07,93.310000,-0.011547
79678,00507V10,ATVI,12499,2021-07-08,92.180000,-0.012110
79678,00507V10,ATVI,12499,2021-07-09,92.380000,0.002170
